ts,signal_id,mode,action,ticker,qty,result,note
2026-06-16T18:30:02.755299+00:00,ZB-25409e87b31602983bcf,dry-run,exit,MNQ,,logged,
2026-06-17T18:30:14.865848+00:00,ZB-39ff49775020ee148520,live,cancel,MNQ,,confirmed,http 200
2026-06-17T18:30:15.240256+00:00,ZB-e7f00c4074fec028d8d1,live,exit,MNQ,,confirmed,http 200
2026-06-18T18:30:15.374759+00:00,ZB-360d765d4beba49b69f3,live,cancel,MNQ,,confirmed,http 200
2026-06-18T18:30:15.751465+00:00,ZB-3b9a01a5aac6c33d8a0a,live,exit,MNQ,,confirmed,http 200
2026-06-21T05:46:44.955739+00:00,ZB-e2499ba03d96f0fa29ad,live,sell,MNQ,3,refused,LIVE BLOCKED: exit model not approved/aligned
2026-06-21T06:01:19.900168+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:01:19.900554+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:01:36.049869+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:01:36.050307+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:12:59.538072+00:00,ZB-9b15699b46824d447568,dry-run,sell,MNQ,2,logged,
2026-06-21T06:12:59.538809+00:00,ZB-83eb3a86671844ad11ff,dry-run,sell,MNQ,1,logged,
2026-06-21T06:13:19.196637+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:13:19.197008+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:13:20.997552+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:13:20.997945+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:25:47.131103+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:25:47.131488+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:35:03.248249+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:35:03.248644+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:36:56.956733+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:36:56.957112+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T06:58:33.879999+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T06:58:33.880381+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:05:48.097411+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:05:48.097791+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:26:57.420689+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:26:57.421088+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:28:04.654998+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:28:04.655428+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:48:36.237556+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:48:36.238245+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:49:37.640799+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T07:49:37.641560+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T07:49:37.657797+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T07:49:37.670644+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:49:37.722567+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:49:57.434317+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:49:57.434691+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:49:58.010261+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T07:49:58.010670+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T07:49:58.022907+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T07:49:58.034852+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:49:58.085761+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:58:24.431983+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T07:58:24.434295+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T07:58:24.453257+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T07:58:24.466736+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:58:24.516719+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:58:26.813043+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:58:26.813467+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:58:27.323172+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T07:58:27.323587+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T07:58:27.334723+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T07:58:27.345699+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:58:27.389005+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:59:50.591191+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T07:59:50.591584+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T07:59:51.152056+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T07:59:51.152491+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T07:59:51.164706+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T07:59:51.176185+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T07:59:51.221187+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:11.893385+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T08:35:11.894225+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T08:35:11.906165+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T08:35:11.917788+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:11.964551+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:11.977824+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:14.221205+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T08:35:14.221580+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T08:35:14.746835+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T08:35:14.747251+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T08:35:14.760096+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T08:35:14.771097+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:14.829016+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:35:14.840559+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:39:44.639278+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T08:39:44.639720+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T08:39:45.108543+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T08:39:45.108979+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T08:39:45.137447+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T08:39:45.157812+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:39:45.220101+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:39:45.244355+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:45:38.257073+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T08:45:38.257489+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T08:45:38.755012+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T08:45:38.755423+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T08:45:38.777431+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T08:45:38.789861+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:45:38.834973+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T08:45:38.846795+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:48:17.095843+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T10:48:17.096345+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T10:48:17.558142+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T10:48:17.558610+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T10:48:17.581273+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T10:48:17.591963+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:48:17.635041+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:48:17.646115+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:50:46.393359+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T10:50:46.393793+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T10:50:46.882783+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T10:50:46.883194+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T10:50:46.905660+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T10:50:46.918608+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:50:46.967597+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T10:50:46.980343+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T12:17:39.701990+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-21T12:17:39.702383+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-21T12:17:40.167917+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-21T12:17:40.168341+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-21T12:17:40.179483+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-21T12:17:40.190475+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T12:17:40.236302+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-21T12:17:40.247432+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T00:14:39.577210+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T00:14:39.577684+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T00:14:40.088271+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T00:14:40.089348+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T00:14:40.102142+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T00:14:40.114327+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T00:14:40.163450+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T00:14:40.174762+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T04:06:52.149369+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T04:06:52.149805+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T04:06:52.589217+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T04:06:52.590043+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T04:06:52.600871+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T04:06:52.610929+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T04:06:52.651155+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T04:06:52.661259+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T05:51:14.017409+00:00,ZB-84f1a878ea2f1be8b8d2,test,exit,MNQ,,confirmed,http 200
2026-06-22T05:52:35.830726+00:00,ZB-61ded44f50338ba4f63d,live,buy,MNQ,1,duplicate-blocked,
2026-06-22T05:53:05.165089+00:00,ZB-e88983ea1e0e28d726aa,live,buy,MNQ,1,confirmed,http 200
2026-06-22T05:57:46.350614+00:00,ZB-76c8725ffd0c69653c54,live,cancel,MNQ,,confirmed,http 200
2026-06-22T05:57:46.717941+00:00,ZB-24c896a520cda11992b2,live,exit,MNQ,,confirmed,http 200
2026-06-22T06:10:45.663866+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T06:10:45.664313+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T06:10:46.121499+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T06:10:46.121960+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T06:10:46.132614+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T06:10:46.143784+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T06:10:46.183127+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T06:10:46.193588+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:40.595383+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T12:25:40.595817+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T12:25:41.068945+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T12:25:41.069450+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T12:25:41.080849+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T12:25:41.091988+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:41.131840+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:41.142298+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:42.939550+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T12:25:42.941056+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T12:25:43.506503+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T12:25:43.507060+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T12:25:43.518377+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T12:25:43.529682+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:43.576355+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T12:25:43.587240+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T14:01:56.174884+00:00,ZB-bae41fe3f04b2bd867cd,live,buy,MNQ,2,confirmed,http 200
2026-06-22T18:30:15.222550+00:00,ZB-08ff2b722816c2293522,live,cancel,MNQ,,confirmed,http 200
2026-06-22T18:30:15.614887+00:00,ZB-6ed71e353991f67666b8,live,exit,MNQ,,confirmed,http 200
2026-06-22T21:07:35.193887+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-22T21:07:35.194264+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-22T21:07:35.633275+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-22T21:07:35.633827+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-22T21:07:35.644882+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-22T21:07:35.654823+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T21:07:35.692772+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-22T21:07:35.702720+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:34:50.043482+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-23T07:34:50.043850+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-23T07:34:50.474347+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-23T07:34:50.474769+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-23T07:34:50.484237+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-23T07:34:50.493555+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:34:50.530429+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:34:50.539619+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:46:25.613623+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-23T07:46:25.613982+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-23T07:46:26.047496+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-23T07:46:26.047914+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-23T07:46:26.057588+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-23T07:46:26.066975+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:46:26.103304+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-23T07:46:26.112586+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:25:38.559791+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-24T08:25:38.560203+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-24T08:25:39.024993+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-24T08:25:39.026177+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-24T08:25:39.037281+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-24T08:25:39.048346+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:25:39.088472+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:25:39.098927+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:29:33.208305+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-24T08:29:33.208770+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-24T08:29:33.741258+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-24T08:29:33.741850+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-24T08:29:33.754571+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-24T08:29:33.766668+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:29:33.813535+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:29:33.827210+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:48:05.483623+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-24T08:48:05.484034+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-24T08:48:05.945284+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-24T08:48:05.945838+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-24T08:48:05.955828+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-24T08:48:05.965914+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:48:06.002618+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:48:06.013649+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:51:41.082630+00:00,ZB-6aad7a2e01a864fbde03,dry-run,cancel,MNQ,,logged,
2026-06-24T08:51:41.083032+00:00,ZB-96d4de44eae845f50c26,dry-run,exit,MNQ,,logged,
2026-06-24T08:51:41.542799+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,2,logged,
2026-06-24T08:51:41.543239+00:00,ZB-e78cb3a40aff486c1bfb,dry-run,sell,MNQ,1,logged,
2026-06-24T08:51:41.554282+00:00,ZB-f2071f5f1c64df2fc985,dry-run,sell,MNQ,1,logged,
2026-06-24T08:51:41.575703+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:51:41.621404+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
2026-06-24T08:51:41.632189+00:00,ZB-78477fc08367c49320f2,dry-run,buy,MNQ,2,logged,
